Tempo Encode,Tempo Decode
404 , 391
232 , 164
120 , 415
415 , 348
625 , 473
356 , 438
400 , 486
233 , 307
208 , 355
491 , 332
289 , 363
246 , 255
198 , 222
193 , 194
189 , 233
194 , 177
157 , 186
154 , 171
140 , 136
123 , 145
138 , 143
128 , 144
118 , 141
183 , 134
118 , 134
119 , 137
136 , 134
118 , 135
120 , 154
143 , 138
125 , 134
121 , 135
120 , 135
121 , 148
167 , 141
118 , 141
167 , 184
151 , 165
119 , 139
124 , 158
137 , 158
120 , 133
119 , 143
140 , 140
118 , 404
331 , 376
319 , 364
253 , 223
188 , 195
172 , 194
