Tempo Encode,Tempo Decode
481 , 390
253 , 189
153 , 171
155 , 169
119 , 141
122 , 132
118 , 135
124 , 162
119 , 133
118 , 135
119 , 135
119 , 134
122 , 141
119 , 133
122 , 142
133 , 150
119 , 133
345 , 372
332 , 303
246 , 286
197 , 223
199 , 207
176 , 212
169 , 230
482 , 331
283 , 265
235 , 240
203 , 255
196 , 194
350 , 376
282 , 298
255 , 299
233 , 306
368 , 324
288 , 293
261 , 267
350 , 378
322 , 341
318 , 261
231 , 256
200 , 221
200 , 239
211 , 192
270 , 402
290 , 320
236 , 347
221 , 224
197 , 227
200 , 214
177 , 194
